id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0001,EE.UU.,20,F,Huacachina,Ica,2025-09-22,14,278.94,Avión
V0002,Argentina,62,M,Lago Titicaca,Puno,2025-02-13,15,4136.12,Bus
V0003,Alemania,79,F,Machu Picchu,Cusco,2025-09-07,6,1034.03,Auto particular
V0004,Colombia,62,M,Líneas de Nazca,Ica,2025-03-27,4,1456.56,Avión
V0005,Francia,22,M,Colca,Arequipa,2025-04-01,3,3145.38,Bus
V0006,España,52,F,Huacachina,Ica,2025-01-24,1,865.66,Auto particular
V0007,Perú,66,F,Chan Chan,La Libertad,2025-10-16,12,3551.1,
V0008,México,21,M,Santa Apolonia,Cajamarca,2025-05-17,9,838.23,
V0009,España,50,F,Lago Titicaca,Puno,2025-07-18,4,3677.41,Bus
V0010,Alemania,37,F,Chan Chan,La Libertad,2025-09-09,9,4950.67,
V0011,México,80,M,Lago Titicaca,Puno,2025-03-20,2,4328.29,Auto particular
V0012,Chile,26,M,Islas Ballestas,Ica,2025-11-18,8,3418.09,Bus
V0013,España,37,F,Colca,Arequipa,2025-03-02,1,1157.2,Auto particular
V0014,EE.UU.,54,F,Lago Titicaca,Puno,2025-03-05,11,958.61,Avión
V0015,Argentina,27,F,Colca,Arequipa,2025-03-26,1,3804.14,NA
V0016,Chile,54,F,Cataratas de Gocta,Amazonas,2025-06-02,11,1511.08,Auto particular
V0017,México,66,M,Lago Titicaca,Puno,2025-09-16,3,1357.29,NA
V0018,Colombia,19,F,Santa Apolonia,Cajamarca,2025-04-10,7,4983.96,Avión
V0019,España,53,M,Líneas de Nazca,Ica,2025-07-29,3,2531.81,NA
V0020,Argentina,79,M,Islas Ballestas,Ica,2025-12-29,9,1138.01,Auto particular
V0021,México,21,F,Líneas de Nazca,Ica,2025-01-02,5,4876.29,Auto particular
V0022,Brasil,35,F,Santa Apolonia,Cajamarca,2025-11-06,8,635.26,Auto particular
V0023,México,27,M,Chan Chan,La Libertad,2025-02-04,4,656.12,Auto particular
V0024,Francia,25,M,Islas Ballestas,Ica,2025-10-26,2,4485.27,Bus
V0025,España,62,M,Líneas de Nazca,Ica,2025-08-27,8,4817.82,Auto particular
V0026,Chile,27,F,Machu Picchu,Cusco,2025-09-20,7,612.72,Bus
V0027,Alemania,48,F,Machu Picchu,Cusco,2025-09-27,3,3143.81,
V0028,México,42,M,Islas Ballestas,Ica,2025-11-17,10,1074.97,Avión
V0029,Brasil,77,F,Machu Picchu,Cusco,2025-03-30,15,1697.94,Avión
V0030,Chile,20,F,Huacachina,Ica,2025-08-10,10,3711.95,Avión
V0031,Perú,65,M,Kuelap,Amazonas,2025-11-12,4,625.6,Auto particular
V0032,Colombia,33,F,Líneas de Nazca,Ica,2025-10-09,5,1165.58,Bus
V0033,Chile,54,F,Chan Chan,La Libertad,2025-01-10,13,1573.24,NA
V0034,Alemania,38,F,Machu Picchu,Cusco,2025-07-02,7,4835.5,Auto particular
V0035,México,51,M,Islas Ballestas,Ica,2025-06-19,9,1908.75,Bus
V0036,Alemania,51,F,Islas Ballestas,Ica,2025-06-22,11,1422.67,Auto particular
V0037,Argentina,73,M,Cataratas de Gocta,Amazonas,2025-05-16,9,2700.05,Bus
V0038,Colombia,53,M,Chan Chan,La Libertad,2025-10-30,11,2941.23,Bus
V0039,Chile,52,F,Chan Chan,La Libertad,2025-10-05,3,2063.41,
V0040,Perú,55,F,Machu Picchu,Cusco,2025-10-14,11,4079.85,
V0041,Colombia,57,F,Líneas de Nazca,Ica,2025-03-11,1,2407.75,Auto particular
V0042,Brasil,49,F,Santa Apolonia,Cajamarca,2025-04-23,15,1726.21,Bus
V0043,Chile,23,M,Huacachina,Ica,2025-05-17,8,2008.1,Auto particular
V0044,Argentina,22,F,Machu Picchu,Cusco,2025-07-16,12,1999.69,NA
V0045,México,19,F,Lago Titicaca,Puno,2025-07-21,10,3433.77,Bus
V0046,Brasil,22,F,Líneas de Nazca,Ica,2025-02-15,1,4640.46,Bus
V0047,Alemania,67,F,Kuelap,Amazonas,2025-06-10,2,3116.88,Avión
V0048,Francia,69,M,Chan Chan,La Libertad,2025-12-10,13,4339.27,NA
V0049,México,21,F,Machu Picchu,Cusco,2025-12-14,7,2327.76,Auto particular
V0050,México,52,M,Santa Apolonia,Cajamarca,2025-09-11,12,730.23,NA
V0051,EE.UU.,44,M,Huacachina,Ica,2025-04-11,11,3966.46,Avión
V0052,Perú,61,M,Huacachina,Ica,2025-09-08,10,3819.83,Avión
V0053,Argentina,73,M,Colca,Arequipa,2025-04-22,3,2793.95,
V0054,EE.UU.,38,F,Santa Apolonia,Cajamarca,2025-03-22,7,3683.28,Bus
V0055,Alemania,31,M,Islas Ballestas,Ica,2025-05-01,15,2276.49,NA
V0056,Alemania,23,M,Líneas de Nazca,Ica,2025-02-25,11,4310.28,Avión
V0057,EE.UU.,61,M,Lago Titicaca,Puno,2025-05-01,11,4326.94,
V0058,Argentina,73,M,Machu Picchu,Cusco,2025-11-03,15,3210.91,Avión
V0059,España,32,F,Islas Ballestas,Ica,2025-09-14,8,1817.02,Bus
V0060,Argentina,76,F,Machu Picchu,Cusco,2025-09-09,13,4902.85,
V0061,EE.UU.,72,F,Cataratas de Gocta,Amazonas,2025-10-19,14,2058.2,Auto particular
V0062,España,31,M,Islas Ballestas,Ica,2025-11-27,3,4711.13,Avión
